especie;altura estipite;altura total;tipologia;ug;barrio;distrito;Elemento;fecha  plantacion;marras;x;y;Crecimiento medio (m);media del est°pte (m);Altura media ambiente urbano (m);Varianza altura (m);varianza est°pite (m);desviacion estandar;CV
Butia capitata;0.5;1;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233987.38;4143282.04;;;;;;;
Butia capitata;1;2.5;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233985.51;4143282.94;;;;;;;
Butia capitata;2;5;Plaza o Jard°n;"Paseo Juan Carlos I
(Casco Antiguo)";SAN LORENZO;Casco Antiguo;"Palmera Zona
Verde";;;234469.69;4143487.5;;;;;;;
Butia capitata;0.5;3;Parque Periurbano;Parque San Jer¢nimo I y II;SAN JERONIMO;Norte;"Palmera Zona
Verde";;;235532.68;4145112.32;;;;;;;
Butia capitata;2.5;4;Parque Periurbano;"JARDINES DEL
GUADALQUIVIR";TRIANA OESTE;Triana;"Palmera Zona
Verde";;;234304.16;4143950.63;;;;;;;
Butia capitata;1.5;4;Parque Periurbano;"JARDINES DEL
GUADALQUIVIR";TRIANA OESTE;Triana;"Palmera Zona
Verde";;;234296.89;4143951.32;;;;;;;
Butia capitata;0.5;3;Parque Periurbano;"JARDINES DEL
GUADALQUIVIR";TRIANA OESTE;Triana;"Palmera Zona
Verde";;;234301.66;4143954.47;;;;;;;
Butia capitata;3;4;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;234011.75;4143302.68;;;;;;;
Butia capitata;3;4;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233981.64;4143255.96;;;;;;;
Butia capitata;2;3;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233983.81;4143254;;;;;;;
Caryota mitis;3;4;Parque Urbano;"Z.V. Parque Celestino
Mutis";POLIGONO SUR;Sur;"Palmera Zona
Verde";;;236610.99;4139379.36;3;4;9;0;0;0;
Chamaerops humilis;1;2;;Hermanos Cruz Solis;TRIANA OESTE;Triana;Palmera Viario;;;233361.34;4142340.85;2.3;1.22;3.8;84.18;1.16;9.17;4
Chamaerops humilis;2;3;;Hermanos Cruz Solis;TRIANA OESTE;Triana;Palmera Viario;;;233373.59;4142341.07;;;;;;;
Chamaerops humilis;1.5;2;Plaza o Jard°n;"JOS ê LUIS VILA,
JARDINES PLAZA";FERIA;Casco Antiguo;Palmera Viario;;;235383.12;4143229.06;;;;;;;
Chamaerops humilis;1.5;2;Plaza o Jard°n;"JOS ê LUIS VILA,
JARDINES PLAZA";FERIA;Casco Antiguo;Palmera Viario;;;235383.02;4143235.09;;;;;;;
Chamaerops humilis;1;2;Plaza o Jard°n;"JOS ê LUIS VILA,
JARDINES PLAZA";FERIA;Casco Antiguo;Palmera Viario;;;235382.8;4143243.08;;;;;;;
Chamaerops humilis;1;2;Plaza o Jard°n;"JOS ê LUIS VILA,
JARDINES PLAZA";FERIA;Casco Antiguo;Palmera Viario;;;235382.59;4143248.13;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233201.85;4142288.71;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233202.76;4142292.35;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233199.67;4142292.62;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233199.03;4142289.35;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233172.58;4142295.53;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233176.13;4142296.44;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233173.4;4142292.8;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233175.67;4142294.16;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233200.94;4142290.8;;;;;;;
Chamaerops humilis;;1;Medianas y Glorietas;Avenida Expo 92;TRIANA OESTE;Triana;Palmera Viario;;;233174.4;4142294.8;;;;;;;
Chamaerops humilis;;1;Parque Periurbano;Parque Guadaira II;BELLAVISTA;Bellavista-La Palmera;"Palmera Zona
Verde";;;235315.7;4137927.45;;;;;;;
Chamaerops humilis;;1;Parque Periurbano;Parque Guadaira II;BELLAVISTA;Bellavista-La Palmera;"Palmera Zona
Verde";;;235310.94;4137927.37;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240597.54;4142323.31;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240599.96;4142324.6;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240595.03;4142328.54;;;;;;;
